month,dln_cpi,cumulative_pct,pass_through_pct,shock_pct,duration
11,0.0011563336189246815,2.9504538660063324,30.95633511618292,+10%,Permanent
12,0.0010869733937332213,3.0591512053796546,32.096793980036516,+10%,Permanent
0,0.005619744612009945,0.5619744612009945,4.020940548268168,+15%,1 month
1,0.007932220627420798,1.355196523943074,9.696463149498612,+15%,1 month
2,-0.00940637782849838,0.41455874109323626,2.9661775877473797,+15%,1 month
3,-0.0012289154299443914,0.29166719809879715,2.0868856939314995,+15%,1 month
4,-2.867666735649129e-4,0.26299053074230583,1.88170346142134,+15%,1 month
5,-1.7050407280159047e-4,0.2459401234621468,1.75970739446349,+15%,1 month
6,-1.48976898418134e-4,0.2310424336203334,1.653114071641573,+15%,1 month
7,-1.387518720981466e-4,0.21716724641051874,1.553836779311377,+15%,1 month
8,-1.302821042346173e-4,0.20413903598705702,1.4606196258999675,+15%,1 month
9,-1.2245063650455603e-4,0.1918939723366014,1.3730059061536681,+15%,1 month
10,-1.151037813002719e-4,0.1803835942065742,1.290648878665239,+15%,1 month
11,-1.0819930654156455e-4,0.16956366355241778,1.21323201918061,+15%,1 month
12,-1.0170917541272948e-4,0.15939274601114484,1.1404588638535935,+15%,1 month
0,0.005619744612009945,0.5619744612009945,4.020940548268168,+15%,2 month
1,0.013551965239430742,1.9171709851440688,13.71740369776678,+15%,2 month
2,-0.001474157201077582,1.7697552650363106,12.662640737245992,+15%,2 month
3,-0.010635293258442771,0.7062259391920334,5.053063281678878,+15%,2 month
4,-0.0015156821035093044,0.5546577288411029,3.968589155352839,+15%,2 month
5,-4.5727074636650334e-4,0.5089306542044526,3.6414108558848293,+15%,2 month
6,-3.194809712197244e-4,0.47698255708248016,3.4128214661050627,+15%,2 month
7,-2.8772877051628056e-4,0.44820968003085204,3.206950850952949,+15%,2 month
8,-2.690339763327639e-4,0.42130628239757567,3.0144564052113436,+15%,2 month
9,-2.527327407391733e-4,0.39603300832365834,2.833625532053635,+15%,2 month
10,-2.3755441780482788e-4,0.37227756654317556,2.6636547848189065,+15%,2 month
11,-2.233030878418364e-4,0.3499472577589919,2.5038808978458484,+15%,2 month
12,-2.09908481954294e-4,0.32895640956356254,2.3536908830342034,+15%,2 month
0,0.005619744612009945,0.5619744612009945,4.020940548268168,+15%,3 month
1,0.013551965239430742,1.9171709851440688,13.71740369776678,+15%,3 month
2,0.004145587410932363,2.3317297262373047,16.68358128551416,+15%,3 month
3,-0.0027030726310219733,2.0614224631351075,14.749526431177493,+15%,3 month
4,-0.010922059932007684,0.9692164699343392,6.934766743100218,+15%,3 month
5,-0.0016861861763108948,0.8005978523032496,5.728296549816328,+15%,3 month
6,-6.062476447846373e-4,0.739973087824786,5.294524927526402,+15%,3 month
7,-4.58232843317871e-4,0.6941498034929988,4.96665824541644,+15%,3 month
8,-4.180108747508979e-4,0.6523487160179091,4.667570476852918,+15%,3 month
9,-3.9148461283731995e-4,0.613200254734177,4.387462311365012,+15%,3 month
10,-3.678365220394452e-4,0.5764166025302325,4.124274410718874,+15%,3 month
11,-3.4575372434639246e-4,0.5418412300955933,3.8768868039995166,+15%,3 month
12,-3.250122632545659e-4,0.5093400037701368,3.644339761699442,+15%,3 month
0,0.005619744612009945,0.5619744612009945,4.020940548268168,+15%,Permanent
1,0.013551965239430742,1.9171709851440688,13.71740369776678,+15%,Permanent
2,0.004145587410932363,2.3317297262373047,16.68358128551416,+15%,Permanent
3,0.0029166719809879714,2.6233969243361024,18.77046697944566,+15%,Permanent
4,0.0026299053074230585,2.886387455078408,20.652170440867,+15%,Permanent
5,0.002459401234621468,3.132327578540554,22.411877835330486,+15%,Permanent
6,0.0023104243362033344,3.363370012160888,24.06499190697206,+15%,Permanent
7,0.002171672464105188,3.580537258571407,25.61882868628344,+15%,Permanent
8,0.00204139035987057,3.7846762945584635,27.07944831218341,+15%,Permanent
9,0.0019189397233660142,3.9765702668950653,28.452454218337074,+15%,Permanent
10,0.0018038359420657424,4.1569538611016394,29.74310309700231,+15%,Permanent
11,0.0016956366355241777,4.326517524654058,30.956335116182927,+15%,Permanent
12,0.001593927460111448,4.485910270665202,32.096793980036516,+15%,Permanent
0,0.007331041405361898,0.7331041405361898,4.020940548268168,+20%,1 month
1,0.010347701162756094,1.767874256811799,9.696463149498612,+20%,1 month
2,-0.012270761412863603,0.5407981155254389,2.9661775877473784,+20%,1 month
3,-0.0016031386695681592,0.380484248568623,2.086885693931498,+20%,1 month
4,-3.740914405771141e-4,0.3430751045109116,1.8817034614213393,+20%,1 month
5,-2.2242512850494754e-4,0.32083259166041683,1.759707394463489,+20%,1 month
6,-1.9434260560732407e-4,0.3013983310996844,1.6531140716415722,+20%,1 month
7,-1.810039049192989e-4,0.28329794060775454,1.553836779311376,+20%,1 month
8,-1.699549652986906e-4,0.2663024440778855,1.4606196258999666,+20%,1 month
9,-1.597386978065455e-4,0.250328574297231,1.3730059061536675,+20%,1 month
10,-1.5015461464612905e-4,0.23531311283261805,1.2906488786652384,+20%,1 month
11,-1.411476234333636e-4,0.22119835048928166,1.2132320191806092,+20%,1 month
12,-1.326811497202991e-4,0.20793023551725176,1.1404588638535929,+20%,1 month
0,0.007331041405361898,0.7331041405361898,4.020940548268168,+20%,2 month
1,0.01767874256811799,2.5009783973479887,13.71740369776678,+20%,2 month
2,-0.0019230602501075066,2.3086723723372384,12.662640737245992,+20%,2 month
3,-0.013873900082431757,0.9212823640940625,5.05306328167888,+20%,2 month
4,-0.001977230110145273,0.7235593530795351,3.9685891553528405,+20%,2 month
5,-5.965165690820619e-4,0.6639076961713289,3.641410855884831,+20%,2 month
6,-4.167677341122719e-4,0.6222309227601017,3.4128214661050635,+20%,2 month
7,-3.7534651052662324e-4,0.5846962717074394,3.206950850952951,+20%,2 month
8,-3.509588702179898e-4,0.5496003846856404,3.014456405211345,+20%,2 month
9,-3.296936631052364e-4,0.5166310183751168,2.8336255320536363,+20%,2 month
10,-3.0989331245267484e-4,0.4856416871298493,2.6636547848189074,+20%,2 month
11,-2.9130223807949287e-4,0.4565114633219,2.503880897845849,+20%,2 month
12,-2.738287731536629e-4,0.4291285860065337,2.353690883034204,+20%,2 month
0,0.007331041405361898,0.7331041405361898,4.020940548268168,+20%,3 month
