month,dln_brent,dln_gengi,dln_eu_ppi,dln_cpi,cum_brent,cum_gengi,cum_eu_ppi,cum_cpi,shock_pct,duration,shock_label
0,0.09531017980432493,-0.002085221425268191,0.0026450304243540094,0.006517821243205847,9.531017980432493,-0.20852214252681908,0.26450304243540096,0.6517821243205847,10,1 month,+10%
1,-0.07484712067810624,0.001490397580390622,-9.349106662831833e-4,0.00369092577724696,2.0463059126218694,-0.05948238448775689,0.1710119758070826,1.0208747020452806,10,1 month,+10%
2,-0.015733978042910466,6.457320274194516e-4,-7.363042162313405e-4,-0.0035589524737918055,0.4729081083308228,0.005090818254188266,0.09738155418394856,0.6649794546661002,10,1 month,+10%
3,-0.0035957267745159466,1.490213605302583e-4,-4.4780195474312186e-4,-0.002503518548582702,0.11333543087922812,0.019992954307214098,0.05260135870963638,0.4146275998078299,10,1 month,+10%
4,-8.91750148129094e-4,-2.452237451540902e-5,-2.5002601585076263e-4,-0.0016606919441343618,0.024160416066318725,0.017540716855673193,0.027598757124560117,0.24855840539439378,10,1 month,+10%
5,-2.2264845856924108e-4,-5.721705514116439e-5,-1.3389863718480486e-4,-0.0010624879586654738,0.0018955702093946185,0.011819011341556756,0.01420889340607963,0.14230960952784638,10,1 month,+10%
6,-4.536811756759554e-5,-4.724566991760396e-5,-6.991911741547322e-5,-6.397203527903109e-4,-0.002641241547364936,0.007094444349796359,0.0072169816645323084,0.07833757424881528,10,1 month,+10%
7,-1.8611979539938845e-7,-3.1002790915665486e-5,-3.5884319135099326e-5,-3.649388729647378e-4,-0.0026598535269048745,0.003994165258229811,0.0036285497510223754,0.041843686952341495,10,1 month,+10%
8,8.209598681501896e-6,-1.8337634679041284e-5,-1.8185082125181807e-5,-1.99885863710487e-4,-0.0018388936587546852,0.0021604017903256827,0.0018100415385041949,0.021855100581292797,10,1 month,+10%
9,7.264771830703111e-6,-1.022996626402171e-5,-9.127326573769321e-6,-1.0629611804617724e-4,-0.001112416475684374,0.0011374051639235117,8.973088811272627e-4,0.011225488776675074,10,1 month,+10%
10,4.84100612936423e-6,-5.499572004588964e-6,-4.546873808779535e-6,-5.5323309027756725e-5,-6.283158627479509e-4,5.874479634646153e-4,4.426215002493092e-4,0.0056931578738994015,10,1 month,+10%
11,2.878787725739692e-6,-2.8830092184710955e-6,-2.2516437569454163e-6,-2.83382939275503e-5,-3.404370901739818e-4,2.9914704161750576e-4,2.1745712455476754e-4,0.0028593284811443713,10,1 month,+10%
12,1.6100791902341514e-6,-1.4843629947965635e-6,-1.109722017681792e-6,-1.4341760170500957e-5,-1.7942917115056664e-4,1.507107421378494e-4,1.0648492278658836e-4,0.0014251524640942754,10,1 month,+10%
0,0.09531017980432493,-0.002085221425268191,0.0026450304243540094,0.006517821243205847,9.531017980432493,-0.20852214252681908,0.26450304243540096,0.6517821243205847,10,2 months,+10%
1,0.020463059126218697,-5.948238448775689e-4,0.0017101197580708261,0.010208747020452807,11.577323893054363,-0.268004527014576,0.4355150182424836,1.6726568263658654,10,2 months,+10%
2,-0.0905810987210167,0.0021361296078100736,-0.001671214882514524,1.3197330345515387e-4,2.5192140209526928,-0.05439156623356861,0.26839352999103117,1.685854156711381,10,2 months,+10%
3,-0.01932970481742641,7.9475338794971e-4,-0.0011841061709744623,-0.006062471022374507,0.5862435392100518,0.02508377256140239,0.14998291289358492,1.07960705447393,10,2 months,+10%
4,-0.004487476922645041,1.2449898601484937e-4,-6.978279705938845e-4,-0.004164210492717063,0.1374958469455477,0.037533671162887326,0.08020011583419648,0.6631860052022238,10,2 months,+10%
5,-0.0011143986066983352,-8.173942965657339e-5,-3.839246530355675e-4,-0.0027231799027998354,0.026055986275714184,0.029359728197229987,0.04180765053063972,0.3908680149222403,10,2 months,+10%
6,-2.6801657613683663e-4,-1.0446272505876837e-4,-2.038177546002781e-4,-0.001702208311455785,-7.456713379694812e-4,0.01891345569135315,0.021425875070611913,0.22064718377666176,10,2 months,+10%
7,-4.555423736299493e-5,-7.824846083326945e-5,-1.0580343655057255e-4,-0.001004659225755049,-0.005301095074268974,0.011088609608026205,0.010845531415554659,0.12018126120115687,10,2 months,+10%
8,8.02347888610251e-6,-4.9340425594706767e-5,-5.4069401260281146e-5,-5.648247366752248e-4,-0.004498747185658723,0.006154567048555529,0.005438591289526545,0.06369878753363438,10,2 months,+10%
9,1.5474370512205004e-5,-2.856760094306299e-5,-2.7312408698951135e-5,-3.0618198175666423e-4,-0.002951310134438223,0.00329780695424923,0.002707350419631431,0.033080589357967954,10,2 months,+10%
10,1.2105777960067338e-5,-1.5729538268610675e-5,-1.3674200382548858e-5,-1.61619427073934e-4,-0.0017407323384314893,0.0017248531273881622,0.0013399303813765452,0.016918646650574555,10,2 months,+10%
11,7.719793855103922e-6,-8.38258122306006e-6,-6.798517565724953e-6,-8.366160295530703e-5,-9.687529529210971e-4,8.865950050821563e-4,6.6007862480405e-4,0.00855248635504385,10,2 months,+10%
12,4.488866915973843e-6,-4.36737221326766e-6,-3.361365774627209e-6,-4.268005409805126e-5,-5.198662613237128e-4,4.498577837553903e-4,3.2394204734132907e-4,0.004284480945238724,10,2 months,+10%
0,0.09531017980432493,-0.002085221425268191,0.0026450304243540094,0.006517821243205847,9.531017980432493,-0.20852214252681908,0.26450304243540096,0.6517821243205847,10,3 months,+10%
1,0.020463059126218697,-5.948238448775689e-4,0.0017101197580708261,0.010208747020452807,11.577323893054363,-0.268004527014576,0.4355150182424836,1.6726568263658654,10,3 months,+10%
2,0.004729081083308229,5.090818254188281e-5,9.738155418394856e-4,0.006649794546661001,12.050232001385186,-0.2629137087603877,0.5328965724264321,2.3376362810319655,10,3 months,+10%
