date,BZ=F.Open,BZ=F.High,BZ=F.Low,BZ=F.Close,BZ=F.Volume,BZ=F.Adjusted,price
2020-01-02,66.470001220703125,66.56999969482422,65.7300033569336,66.25,25810,66.25,66.25
2020-01-03,66.29000091552734,69.4800033569336,66.220001220703125,68.5999984741211,78848,68.5999984741211,68.5999984741211
2020-01-06,69.06999969482422,70.720001220703125,68.19000244140625,68.910003662109375,51933,68.910003662109375,68.910003662109375
2020-01-07,68.58000183105469,68.73999786376953,67.6500015258789,68.2699966430664,41178,68.2699966430664,68.2699966430664
2020-01-08,68.470001220703125,71.98999786376953,64.94000244140625,65.44000244140625,85232,65.44000244140625,65.44000244140625
2020-01-09,65.79000091552734,66.089996337890625,64.55000305175781,65.37000274658203,50520,65.37000274658203,65.37000274658203
2020-01-10,65.410003662109375,65.660003662109375,64.86000061035156,64.9800033569336,46595,64.9800033569336,64.9800033569336
2020-01-13,65.18000030517578,65.25,63.91999816894531,64.19999694824219,35430,64.19999694824219,64.19999694824219
2020-01-14,64.220001220703125,65.04000091552734,63.90999984741211,64.48999786376953,34682,64.48999786376953,64.48999786376953
2020-01-15,64.45999908447266,64.61000061035156,63.54999923706055,64,34164,64,64
2020-01-16,64.30999755859375,64.95999908447266,63.91999816894531,64.62000274658203,38391,64.62000274658203,64.62000274658203
2020-01-17,64.75,65.13999938964844,64.48999786376953,64.8499984741211,35541,64.8499984741211,64.8499984741211
2020-01-21,65.4000015258789,66,64.05999755859375,64.589996337890625,50484,64.589996337890625,64.589996337890625
2020-01-22,64.54000091552734,64.589996337890625,62.529998779296875,63.209999084472656,35127,63.209999084472656,63.209999084472656
2020-01-23,62.630001068115234,62.779998779296875,61.25,62.040000915527344,43330,62.040000915527344,62.040000915527344
2020-01-24,62.119998931884766,62.459999084472656,60.220001220703125,60.689998626708984,43263,60.689998626708984,60.689998626708984
2020-01-27,60.279998779296875,60.4900016784668,58.5,59.31999969482422,39367,59.31999969482422,59.31999969482422
2020-01-28,58.95000076293945,60.11000061035156,58.5,59.5099983215332,41537,59.5099983215332,59.5099983215332
2020-01-29,59.66999816894531,60.61000061035156,59.25,59.810001373291016,21453,59.810001373291016,59.810001373291016
2020-01-30,59.61000061035156,59.61000061035156,57.72999954223633,58.290000915527344,17435,58.290000915527344,58.290000915527344
2020-01-31,59.06999969482422,59.529998779296875,57.97999954223633,58.15999984741211,68547,58.15999984741211,58.15999984741211
2020-02-03,55.849998474121094,56.7599983215332,54.06999969482422,54.45000076293945,66338,54.45000076293945,54.45000076293945
2020-02-04,54.150001525878906,55.63999938964844,53.689998626708984,53.959999084472656,52393,53.959999084472656,53.959999084472656
2020-02-05,53.880001068115234,56.470001220703125,53.880001068115234,55.279998779296875,56117,55.279998779296875,55.279998779296875
2020-02-06,55.56999969482422,56.560001373291016,54.2400016784668,54.93000030517578,50605,54.93000030517578,54.93000030517578
2020-02-07,55.36000061035156,55.470001220703125,54.209999084472656,54.470001220703125,43796,54.470001220703125,54.470001220703125
2020-02-10,54.2400016784668,54.70000076293945,53.11000061035156,53.27000045776367,35920,53.27000045776367,53.27000045776367
2020-02-11,53.349998474121094,54.65999984741211,53.349998474121094,54.0099983215332,36294,54.0099983215332,54.0099983215332
2020-02-12,54.18000030517578,56.29999923706055,54.18000030517578,55.790000915527344,43350,55.790000915527344,55.790000915527344
2020-02-13,56.34000015258789,56.83000183105469,54.970001220703125,56.34000015258789,48775,56.34000015258789,56.34000015258789
2020-02-14,56.400001525878906,57.529998779296875,56.15999984741211,57.31999969482422,41913,57.31999969482422,57.31999969482422
2020-02-18,57.34000015258789,57.81999969482422,56.290000915527344,57.75,47337,57.75,57.75
2020-02-19,57.70000076293945,59.40999984741211,57.540000915527344,59.119998931884766,36217,59.119998931884766,59.119998931884766
2020-02-20,59.34000015258789,60.02000045776367,58.900001525878906,59.310001373291016,34207,59.310001373291016,59.310001373291016
2020-02-21,59.15999984741211,59.27000045776367,57.7400016784668,58.5,39006,58.5,58.5
2020-02-24,58.02000045776367,58.119998931884766,55.13999938964844,56.29999923706055,28258,56.29999923706055,56.29999923706055
2020-02-25,56.220001220703125,56.970001220703125,54.61000061035156,54.95000076293945,27751,54.95000076293945,54.95000076293945
2020-02-26,55.08000183105469,55.439998626708984,53.040000915527344,53.43000030517578,26216,53.43000030517578,53.43000030517578
2020-02-27,53.439998626708984,53.439998626708984,51.04999923706055,52.18000030517578,9616,52.18000030517578,52.18000030517578
2020-02-28,51.369998931884766,51.4900016784668,50.119998931884766,50.52000045776367,53362,50.52000045776367,50.52000045776367
2020-03-02,49.040000915527344,52.779998779296875,48.380001068115234,51.900001525878906,47286,51.900001525878906,51.900001525878906
2020-03-03,52.97999954223633,53.869998931884766,51.2400016784668,51.86000061035156,42862,51.86000061035156,51.86000061035156
