month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
9,-7.04491662701064e-5,1.3007867923413297e-4,-1.0356351476029611e-4,0,0.066312019920921,0.14291070638710265,0.030956939754127603,10,2 months,+10%
10,-6.925098944245145e-5,-8.89743163545037e-6,-1.0066995562969545e-4,0,0.059386920976675854,0.14202096322355762,0.02088994419115806,10,2 months,+10%
11,-5.6265847940963325e-5,-7.882358699611014e-5,-7.800272239134702e-5,0,0.05376033618257953,0.1341386045239466,0.013089671952023357,10,2 months,+10%
12,-3.859092079855006e-5,-4.6564862528235273e-05,-5.5820178293908545e-5,0,0.04990124410272452,0.12948211827112308,0.007507654122632502,10,2 months,+10%
0,4.6820494826984704e-4,-2.9757179938581443e-5,0.002982911102347394,9.531017980432493,0.04682049482698471,-0.0029757179938581443,0.2982911102347394,10,3 months,+10%
1,6.090301484905011e-4,1.8899803656607927e-4,0.0013086701051690675,9.531017980432493,0.10772350967603482,0.015924085662749783,0.42915812075164617,10,3 months,+10%
2,2.6193692538275994e-4,0.0033749853017624176,9.784276393973645e-4,9.531017980432493,0.1339172022143108,0.35342261583899154,0.5270008846913826,10,3 months,+10%
3,5.161589120479112e-4,0.0018519585270350195,-0.002235976115228142,0,0.18553309341910193,0.5386184685424935,0.3034032731685684,10,3 months,+10%
4,2.0719404659714363e-5,3.0397080534760174e-4,-7.804586303975289e-4,0,0.18760503388507338,0.5690155490772537,0.22535741012881552,10,3 months,+10%
5,2.6877053161538517e-4,-0.0025152984426070474,-5.461620811056126e-4,0,0.2144820870466119,0.317485704816549,0.17074120201825427,10,3 months,+10%
6,-4.957200161703368e-4,-9.108215231256947e-4,-4.1143311819399973e-4,0,0.1649100854295782,0.22640355250397948,0.12959789019885432,10,3 months,+10%
7,-2.4370201394648128e-4,1.1197069355756845e-4,-2.9649790526937406e-4,0,0.14053988403493006,0.23760062185973632,0.09994809967191688,10,3 months,+10%
8,-1.8318563072255902e-4,-1.655980099897125e-4,-2.5084621549234087e-4,0,0.12222132096267417,0.22104082086076507,0.0748634781226828,10,3 months,+10%
9,-1.730454712137947e-4,-1.7636160926533945e-4,-2.073518141833845e-4,0,0.1049167738412947,0.20340465993423112,0.05412829670434435,10,3 months,+10%
10,-1.0777670237059611e-4,8.02518820590464e-5,-1.5096418233244598e-4,0,0.0941391036042351,0.21142984814013577,0.039031878471099755,10,3 months,+10%
11,-8.818930128291552e-5,-3.789422145645399e-5,-1.3127201044889347e-4,0,0.08532017347594355,0.20764042599449037,0.025904677426210405,10,3 months,+10%
12,-7.591845689904411e-5,-9.639165970332098e-5,-1.0322084586605537e-4,0,0.07772832778603914,0.19800126002415827,0.015582592839604868,10,3 months,+10%
0,4.6820494826984704e-4,-2.9757179938581443e-5,0.002982911102347394,9.531017980432493,0.04682049482698471,-0.0029757179938581443,0.2982911102347394,10,6 months,+10%
1,6.090301484905011e-4,1.8899803656607927e-4,0.0013086701051690675,9.531017980432493,0.10772350967603482,0.015924085662749783,0.42915812075164617,10,6 months,+10%
2,2.6193692538275994e-4,0.0033749853017624176,9.784276393973645e-4,9.531017980432493,0.1339172022143108,0.35342261583899154,0.5270008846913826,10,6 months,+10%
3,9.843638603177583e-4,0.0018222013470964376,7.469349871192523e-4,9.531017980432493,0.23235358824608665,0.5356427505486353,0.6016943834033078,10,6 months,+10%
4,6.297495531502155e-4,4.92968841913681e-4,5.282114747715383e-4,9.531017980432493,0.29532854356110816,0.5849396347400034,0.6545155308804617,10,6 months,+10%
5,5.307074569981434e-4,8.596868591553566e-4,4.3226555829175466e-4,9.531017980432493,0.3483992892609225,0.6709083206555391,0.6977420867096371,10,6 months,+10%
6,2.043889587757721e-5,9.411370039093239e-4,-0.0026474092334221417,0,0.35044317884868026,0.7650220210464714,0.43300116336742295,10,6 months,+10%
7,-2.2298260928676865e-4,4.159414989052049e-4,-0.0010769565356669054,0,0.3281449179200034,0.8066161709369919,0.3253055098007324,10,6 months,+10%
8,8.558490089282441e-5,-0.00268089645259676,-7.970082965979564e-4,0,0.33670340800928583,0.538526525677316,0.24560468014093675,10,6 months,+10%
9,-6.687654873841348e-4,-0.001087183132391088,-6.187849323773843e-4,0,0.26982685927087235,0.42980821243820716,0.18372618690319836,10,6 months,+10%
10,-3.514787163170826e-4,1.922225756165732e-4,-4.47462087601816e-4,0,0.2346789876391641,0.44903046999986446,0.13897997814301674,10,6 months,+10%
11,-2.713749320054816e-4,-2.034922314461821e-4,-3.8211822594123174e-4,0,0.20754149443861594,0.4286812468552463,0.10076815554889357,10,6 months,+10%
